a-ok_adjective,neutral
a-okay_adjective,neutral
a-one_adjective,positive
a_adjective,neutral
a_noun,neutral
aa_noun,neutral
aaa_noun,negative
aaa_propernoun,positive
aaah_propernoun,positive
aaarated_propernoun,positive
aac_propernoun,positive
aachen_noun,neutral
aacs_noun,negative
aadvantage_propernoun,positive
aadventures_noun,positive
aah_verb,negative
aaj_propernoun,positive
aaja_propernoun,positive
aakp_noun,positive
aalborg_noun,neutral
aalfang_propernoun,negative
aam_propernoun,positive
aamir_propernoun,positive
aan_noun,negative
aan_verb,negative
aanbevolen_noun,negative
aanbieden_noun,negative
aanbieding_verb,negative
aanbiedt_noun,negative
aangesloten_noun,negative
aapt_propernoun,positive
aar_noun,neutral
aardvark_noun,neutral
aare_noun,neutral
aargau_propernoun,negative
aarhus_noun,neutral
aaron_noun,positive
aaron_propernoun,positive
aarp_noun,positive
aarti_noun,positive
aatrack_noun,positive
aau_propernoun,positive
aav_propernoun,positive
aave_noun,neutral
ab_noun,neutral
aba_noun,positive
aba_propernoun,negative
abacavir_noun,positive
abactinal_adjective,negative
abalone_noun,neutral
abamp_noun,neutral
abampere_noun,neutral
abandon_noun,negative
abandon_verb,neutral
abandoned_adjective,negative
abandonment_noun,negative
abandonware_propernoun,positive
abashed_adjective,positive
abashment_noun,neutral
abasic_adjective,neutral
abate_verb,positive
abatement_noun,neutral
abatement_propernoun,neutral
abatic_adjective,neutral
abatis_noun,neutral
abattis_noun,neutral
abattoir_noun,negative
abaxial_adjective,positive
abazagorath_noun,negative
abb_noun,neutral
abb_propernoun,negative
abba_propernoun,negative
abbas_propernoun,negative
abbe_noun,positive
abbess_noun,neutral
abbey_propernoun,negative
abbildung_noun,negative
abbildung_propernoun,negative
abbot_noun,neutral
abbot_propernoun,positive
abbotsford_propernoun,positive
abbreviate_verb,negative
abbreviated_adjective,negative
abbreviation_noun,neutral
abbreviator_noun,neutral
abby_propernoun,positive
abc_noun,positive
abc_propernoun,neutral
abcaz_noun,positive
abd_noun,negative
abdeckung_propernoun,negative
abdel_propernoun,negative
abdias_noun,neutral
abdomen_noun,positive
abdomen_propernoun,negative
abdominal_adjective,negative
abdominal_noun,positive
abdominocentesis_noun,neutral
abdominous_adjective,neutral
abdominousness_noun,neutral
abduce_verb,positive
abducens_noun,neutral
abducent_adjective,positive
abducent_noun,neutral
abduct_verb,negative
abducted_noun,negative
abducting_adjective,positive
abduction_noun,negative
abductor_noun,negative
abdul_propernoun,neutral
abdullah_propernoun,negative
abdus_propernoun,positive
abe_propernoun,negative
abenaki_noun,neutral
abend_propernoun,negative
abenteuer_propernoun,negative
aber_noun,negative
aberdeen_propernoun,positive
aberrance_noun,negative
aberrancy_noun,negative
aberrant_adjective,positive
aberration_noun,negative
abet_verb,negative
abeta_noun,negative
abetalipoproteinaemia_noun,negative
abetment_noun,positive
abettal_noun,positive
abetter_noun,neutral
abettor_noun,neutral
abeyance_noun,negative
abeyant_adjective,negative
abgesichert_noun,negative
abgesppritztn_noun,negative
abheben_noun,negative
abhorred_adjective,negative
abhorrence_noun,negative
abhorrent_adjective,negative
abia_propernoun,positive
abidance_noun,positive
abide_verb,positive
abides_noun,positive
abiding_adjective,positive
abience_noun,positive
abient_adjective,positive
abigail_propernoun,neutral
abila_noun,neutral
abilitiy_verb,positive
ability_noun,positive
ability_propernoun,neutral
abimelech_propernoun,negative
abimelech_verb,negative
abiogenesis_noun,neutral
abit_noun,positive
abit_propernoun,negative
abject_adjective,negative
abject_noun,negative
abjection_noun,negative
abjuration_noun,negative
abjure_verb,negative
abkhas_noun,neutral
abkhasian_noun,neutral
abkhaz_adjective,neutral
abkhaz_noun,neutral
abkhazia_noun,neutral
abkhazian_adjective,neutral
abkhazian_noun,neutral
abkommens_propernoun,negative
ablactate_verb,positive
ablactation_noun,neutral
ablation_noun,negative
ablaze_adjective,negative
able-bodied_adjective,positive
able-bodiedism_noun,neutral
able-bodism_noun,neutral
able_adjective,positive
able_propernoun,neutral
ableism_noun,neutral
ablenkung_propernoun,negative
ablism_noun,neutral
abloom_adjective,neutral
ablutionary_adjective,negative
abm_propernoun,positive
abn_propernoun,negative
abnaki_noun,neutral
